county,company,city,address,postcode,phone,email,website,source
Sodermanlands Lan,Vingåkers Bilskrot AB,Vingåker,Trollåsens Motorbana,64395,073-6755516,vingakersbilskrot@gmail.com,,SBR
Sodermanlands Lan,Stigtomta Skrot,Stigtomta,Stordalen Sandgölet 1,611 97,0155-22 71 83,info@stigtomtaskrot.se,https://stigtomtaskrot.se/index.php,SBR
Sodermanlands Lan,Nyköpings Bildemontering AB,Nyköping,Björshultsvägen 3,611 92,0155-282 728,skrotmek@telia.com,,SBR
Sodermanlands Lan,Eskilstuna Bildemontering AB,Eskilstuna,Kungsgatan 100,632 21,016-139 906,info@eskilstunabildemontering.nu,https://www.eskilstunabildemontering.nu/,SBR
Jonkopings Lan,Trania Metal och Återvinning AB,Tranås,Tenngatan 3,573 38,0140-386150,info@trania.se,https://www.trania.se/,SBR
Jonkopings Lan,ML Bildemontering AB,Sävsjö,Brädgårdsgatan 11,576 33,0382-13400,ml-bildemontering@telia.com,http://www.mlbildemo.se/,SBR
Jonkopings Lan,Jönköpings Bildemontering AB,Jönköping,Bäckamarken 5,555 92,010-4975900,info@jb-bildemo.se,http://www.jb-bildemo.se/,SBR
Jonkopings Lan,Ericssons Bildemontering AB,Värnamo,Kärda,331 95,0370-281 00,info@ericssonsbildemonterng.se,http://www.ericssonsbildemontering.se/,SBR
Vasternorrlands Lan,Sundsvalls Bildemontering AB,Sundsbruk,Ekenäsvägen 7,863 37,060-537 890,lars.akesson@s-vallbildemontering.se,https://www.s-vallbildemontering.se/,SBR
Vasternorrlands Lan,Bildelshuset i Örnsköldsvik AB,Överhörnäs,Vägersta 109,894 93,0660-700 90,info@bildelshuset.com,http://www.bildelshuset.com/,SBR
Vasternorrlands Lan,Ådalens Bildemontering AB,Kramfors,Karossvägen 1,872 33,0612-124 20,info@adalens.se,http://www.adalens.se/,SBR
Vastra Gotalands Lan,Örns Bilskrot AB,Gunnilse,Långavallsgatan 17,424 57,031-331 50 00,kontakt@ornsbilskrot.se,https://ornsbilskrot.se/,SBR
Vastra Gotalands Lan,Kungälvs Bildemontering AB,Kungälv,Bultgatan 19,442 40,0303-935 10,info@bildem.se,https://bildem.se/,SBR
Vastra Gotalands Lan,Borås Bildemontering AB,Brämhult,Handvävargatan 2,507 30,033-230 050,info@borasbildemontering.se,https://www.borasbildemontering.se/,SBR
Vastra Gotalands Lan,Bollebygds Bil & Miljöcenter AB,Bollebygd,Granhemsvägen 21,517 33,033-289 090,info@bollebygdsbil.se,http://www.bollebygdsbil.se/,SBR
Vastra Gotalands Lan,Bildelcentrum i Partille AB,Partille,Järnringen 9,433 30,031-442 720,info@bildelcentrum.se,http://www.bildelcentrum.se/,SBR
Vastra Gotalands Lan,Bilåtervinning i Tibro AB,Tibro,Värsåsvägen 42,543 35,050-461 350,info@bilatibro.se,https://www.bilatibro.se/,SBR
Vastra Gotalands Lan,Alingsås Bildelar AB,Alingsås,Sävelundsgatan 7,441 38,0322-105 27,info@alingsasbildelar.se,http://www.alingsasbildelar.se/,SBR
