county,company,city,address,postcode,phone,email,website,source,lat,lon
Sodermanlands Lan,Vingåkers Bilskrot AB,Vingåker,Trollåsens Motorbana,64395,073-6755516,vingakersbilskrot@gmail.com,,SBR,59.066667,15.883333
Sodermanlands Lan,Stigtomta Skrot,Stigtomta,Stordalen Sandgölet 1,611 97,0155-22 71 83,info@stigtomtaskrot.se,https://stigtomtaskrot.se/index.php,SBR,58.8027639,16.7853448
Sodermanlands Lan,Nyköpings Bildemontering AB,Nyköping,Björshultsvägen 3,611 92,0155-282 728,skrotmek@telia.com,,SBR,58.7545409,17.0120656
Sodermanlands Lan,Eskilstuna Bildemontering AB,Eskilstuna,Kungsgatan 100,632 21,016-139 906,info@eskilstunabildemontering.nu,https://www.eskilstunabildemontering.nu/,SBR,59.3717379,16.5051474
Jonkopings Lan,Trania Metal och Återvinning AB,Tranås,Tenngatan 3,573 38,0140-386150,info@trania.se,https://www.trania.se/,SBR,58.05,14.833333
Jonkopings Lan,ML Bildemontering AB,Sävsjö,Brädgårdsgatan 11,576 33,0382-13400,ml-bildemontering@telia.com,http://www.mlbildemo.se/,SBR,57.333333,14.666667
Jonkopings Lan,Jönköpings Bildemontering AB,Jönköping,Bäckamarken 5,555 92,010-4975900,info@jb-bildemo.se,http://www.jb-bildemo.se/,SBR,57.7825634,14.165719
Jonkopings Lan,Ericssons Bildemontering AB,Värnamo,Kärda,331 95,0370-281 00,info@ericssonsbildemonterng.se,http://www.ericssonsbildemontering.se/,SBR,57.184902,14.0410977
Vasternorrlands Lan,Sundsvalls Bildemontering AB,Sundsbruk,Ekenäsvägen 7,863 37,060-537 890,lars.akesson@s-vallbildemontering.se,https://www.s-vallbildemontering.se/,SBR,62.4584333,17.3594045
Vasternorrlands Lan,Bildelshuset i Örnsköldsvik AB,Överhörnäs,Vägersta 109,894 93,0660-700 90,info@bildelshuset.com,http://www.bildelshuset.com/,SBR,63.2898354,18.5575503
Vasternorrlands Lan,Ådalens Bildemontering AB,Kramfors,Karossvägen 1,872 33,0612-124 20,info@adalens.se,http://www.adalens.se/,SBR,62.916667,17.666667
Vastra Gotalands Lan,Örns Bilskrot AB,Gunnilse,Långavallsgatan 17,424 57,031-331 50 00,kontakt@ornsbilskrot.se,https://ornsbilskrot.se/,SBR,57.7863105,12.0906502
Vastra Gotalands Lan,Kungälvs Bildemontering AB,Kungälv,Bultgatan 19,442 40,0303-935 10,info@bildem.se,https://bildem.se/,SBR,57.8707951,11.9799616
Vastra Gotalands Lan,Borås Bildemontering AB,Brämhult,Handvävargatan 2,507 30,033-230 050,info@borasbildemontering.se,https://www.borasbildemontering.se/,SBR,57.7324339,13.0035863
Vastra Gotalands Lan,Bollebygds Bil & Miljöcenter AB,Bollebygd,Granhemsvägen 21,517 33,033-289 090,info@bollebygdsbil.se,http://www.bollebygdsbil.se/,SBR,57.75,12.6
Vastra Gotalands Lan,Bildelcentrum i Partille AB,Partille,Järnringen 9,433 30,031-442 720,info@bildelcentrum.se,http://www.bildelcentrum.se/,SBR,57.7333362,12.1166649
Vastra Gotalands Lan,Bilåtervinning i Tibro AB,Tibro,Värsåsvägen 42,543 35,050-461 350,info@bilatibro.se,https://www.bilatibro.se/,SBR,58.416667,14.2
Vastra Gotalands Lan,Alingsås Bildelar AB,Alingsås,Sävelundsgatan 7,441 38,0322-105 27,info@alingsasbildelar.se,http://www.alingsasbildelar.se/,SBR,57.9299658,12.5329678
Vastra Gotalands Lan,Mariestads Bildemontering och Återvinningsteknik AB,Mariestad,Förrådsgatan 29,542 35,0501-19250,info@mariestadsbildemo.se,http://bildemonteringenimariestad.fbt.se/,SBR,58.7093225,13.8228754
Vastra Gotalands Lan,Eklunds Bildelslager i Skövde AB,Skövde,Larsgården Våmb,541 33,0500-41 38 45,info@eklunds.se,https://eklunds.nu/,SBR,58.3896329,13.8456344
Vastra Gotalands Lan,Bildelslagret i Trollhättan AB,Trollhättan,Grafitvägen 4,461 38,0520-472625,info@bildelslagret-trollhattan.se,https://www.bildelslagret-trollhattan.se/Default.aspx,SBR,58.2827931,12.2908612
Vastra Gotalands Lan,Bildelslagret i Lidköping AB,Lidköping,Gösslunda Led 2,531 98,0510-170 66,info.lkp@bildelslager.se,http://www.bildelslagret-lidkoping.se/,SBR,58.5037196,13.1576427
Vastra Gotalands Lan,Bilåtervinning i Trollhättan AB,Trollhättan,Grafitvägen 6,461 38,0520-484 860,adm@bilatervinning.se,http://www.bilatervinning.se/,SBR,58.2827931,12.2908612
Dalarnas Lan,Demia AB,Ludvika,Bilvägen,771 42,0240-878 50,info.demia@gsbil.se,http://www.demia.se/,SBR,60.2,14.833333
Dalarnas Lan,Bilskrotcentralen HB,Falun,Skyfallsvägen 9,791 77,023-123 81,bilskrotcentralen@telia.com,http://bilskrotcentralen.se/,SBR,60.6070068,15.6323059
Dalarnas Lan,Atracco AB,Hedemora,Kranvägen 7,776 33,0225-595 540,dpo@atracco.se,http://www.atracco.se/,SBR,60.2777918,15.9885408
Dalarnas Lan,Falu Bildemontering AB,Falun,Västermalmsvägen 20,791 77,023-255 30,falun@falubildemo.se,https://falubildemo.se/,SBR,60.6070068,15.6323059
Dalarnas Lan,Amsbergs Bilaffär & Bildemontering AB,Borlänge,Norr Amsberg 655,781 90,0243 – 23 10 45,info@amsbergsbildemontering.se,https://www.amsbergsbildemontering.se/,SBR,60.4856426,15.4234561
Skane Lan,DIN Bildemontering I Örkelljunga AB,Skånes Fagerhult,Ringvägen 1,286 73,0433-30007,Info@dinbilskrot.se,https://www.dinbilskrot.se/,SBR,56.370506,13.4651703
Skane Lan,Svedala Bildemontering AB,Svedala,Svetsaregatan 3,23323,040-402540,info@bilskroten.nu,http://www.bilskroten.nu/,SBR,55.5513434,13.216676
Skane Lan,USA-Bildelar i Osby AB,Osby,Route 66,283 91,0479-15540,usa@bildelarosby.se,http://www.bildelarosby.se/,SBR,56.416667,14.083333
Skane Lan,Märkesdemo Helsingborg,Helsingborg,Lagergatan 24,254 64,042 - 15 88 40,info@mdhelsingborg.se,http://mdhelsingborg.se/,SBR,56.0442098,12.703706
Skane Lan,Sten Norbergs Bil AB,Bjärnum,Mala 3306,282 65,0451-172 46,info@norbergs.se,http://www.norbergs.se/,SBR,56.2904411,13.7114221
Skane Lan,Malmö Bilskrot AB,Malmö,Stenåldersgatan 10,213 76,040-494 290,info@malmobilskrot.se,,SBR,55.6052931,13.0001566
Skane Lan,Hurva Bildemontering AB,Hurva,Mejerivägen 10,241 94,0413-310 01,bildemo1@outlook.com,https://www.hurvabildemontering.se/,SBR,55.7960077,13.438365
Skane Lan,Granaths Bilskrot AB,Flyinge,Plantskolevägen 45,247 97,046-523 75,jorgen@granath.se,http://www.granaths.se/,SBR,55.7534529,13.3685462
Skane Lan,Ekonex HB,Hässleholm,Belevägen 6,281 43,0451-84757,ekonex@telia.com,http://ekonex.se/kontakta_oss.html,SBR,56.157986,13.7653328
Skane Lan,Billeberga Bildemontering AB,Billeberga,Fabriksvägen 8,268 73,0418-660 924,info@billebergabildemontering.se,https://billebergabildemontering.se/,SBR,55.882914,12.9990874
Skane Lan,Autodemontering TT AB,Sjöbo,Ommavägen 9,275 33,0416-511 370,info@autodemontering.se,http://www.autodemontering.se/,SBR,55.633333,13.683333
Skane Lan,Aktiebolaget Magnus Bildemontering,Trelleborg,Omvägen 27,231 62,0410-440 22,info@magnusbildemontering.se,https://www.magnusbildemontering.se/,SBR,55.37592,13.1461522
Skane Lan,Aktiebolaget Harrys Bilskrot,Malmö,Arlövsvägen 5,211 24,040-38 22 00,info@harrysbilskrot.se,https://www.harrysbilskrot.se/,SBR,55.6052931,13.0001566
Skane Lan,AB Svenssons Bildemontering,Kristianstad,Mosslundavägen 64-44,291 91,"044-244 117, 040-97 80 70",info@svenssonsbildem.se,https://svenssonsbildemontering.se/,SBR,56.0293778,14.1566859
Hallands Lan,Walters Bildelar AB,Falkenberg,Skogstorps 402,311 91,0346-714 580,info@waltersbil.se,https://www.waltersbildelar.com/,SBR,56.904894,12.4912926
Hallands Lan,Hedin Recycled Halmstad AB,Getinge,Teknikvägen 58,305 75,035-10 32 32,info@hedinrecycled.com,http://www.onwheelsbildemontering.se/,SBR,56.816882,12.7314117
Hallands Lan,Munkagård Bilskrot AB,Tvååker,Trävägen 7,432 78,0768-795 022,info@munkagardbil.se,https://munkagardbil.se/,SBR,57.0413621,12.3991052
Hallands Lan,DT Liljas Bildemontering AB,Rydöbruk,Ryvägen 4,314 42,0345-21144,info@liljasbildemontering.se,http://www.liljasbildemontering.se/,SBR,56.9619763,13.1377669
Hallands Lan,Bendt Bil AB,Halmstad,Kristinehedsvägen 13,302 44,035-104050,info@bendtbil.se,https://www.bendtbil.se/,SBR,56.6739826,12.8574827
