Company,Year,Metric,Value
Arboga Bilskrot AB,2024,Net sales,4681
Arboga Bilskrot AB,2023,Net sales,3726
Arboga Bilskrot AB,2022,Net sales,3445
Arboga Bilskrot AB,2021,Net sales,5214
Arboga Bilskrot AB,2020,Net sales,2166
Arboga Bilskrot AB,2024,Other turnover,132
Arboga Bilskrot AB,2023,Other turnover,94
Arboga Bilskrot AB,2022,Other turnover,386
Arboga Bilskrot AB,2021,Other turnover,299
Arboga Bilskrot AB,2020,Other turnover,615
Arboga Bilskrot AB,2024,Turnover,4813
Arboga Bilskrot AB,2023,Turnover,3820
Arboga Bilskrot AB,2022,Turnover,3831
Arboga Bilskrot AB,2021,Turnover,5513
Arboga Bilskrot AB,2020,Turnover,2781
Arboga Bilskrot AB,2024,Stock change,0
Arboga Bilskrot AB,2023,Stock change,0
Arboga Bilskrot AB,2022,Stock change,0
Arboga Bilskrot AB,2021,Stock change,15
Arboga Bilskrot AB,2020,Stock change,11
Arboga Bilskrot AB,2024,Operating profit after depreciation,155
Arboga Bilskrot AB,2023,Operating profit after depreciation,-351
Arboga Bilskrot AB,2022,Operating profit after depreciation,114
Arboga Bilskrot AB,2021,Operating profit after depreciation,559
Arboga Bilskrot AB,2020,Operating profit after depreciation,384
Arboga Bilskrot AB,2024,Financial income,2
Arboga Bilskrot AB,2023,Financial income,2
Arboga Bilskrot AB,2022,Financial income,0
Arboga Bilskrot AB,2021,Financial income,0
Arboga Bilskrot AB,2020,Financial income,0
Arboga Bilskrot AB,2024,Financial costs,-80
Arboga Bilskrot AB,2023,Financial costs,-61
Arboga Bilskrot AB,2022,Financial costs,-8
Arboga Bilskrot AB,2021,Financial costs,-6
Arboga Bilskrot AB,2024,Operating expenses,-4657
Arboga Bilskrot AB,2023,Operating expenses,-4528
Arboga Bilskrot AB,2022,Operating expenses,-3716
Arboga Bilskrot AB,2021,Operating expenses,-4969
Arboga Bilskrot AB,2020,Operating expenses,-2408
Arboga Bilskrot AB,2020,Financial costs,-15
Arboga Bilskrot AB,2024,Result after net financial items,78
Arboga Bilskrot AB,2023,Result after net financial items,-410
Arboga Bilskrot AB,2022,Result after net financial items,106
Arboga Bilskrot AB,2021,Result after net financial items,553
Arboga Bilskrot AB,2020,Result after net financial items,369
Arboga Bilskrot AB,2024,Profit before tax,78
Arboga Bilskrot AB,2023,Profit before tax,-410
Arboga Bilskrot AB,2022,Profit before tax,6
Arboga Bilskrot AB,2021,Profit before tax,193
Arboga Bilskrot AB,2020,Profit before tax,437
Arboga Bilskrot AB,2024,Tax on the year's profit,0
Arboga Bilskrot AB,2023,Tax on the year's profit,0
Arboga Bilskrot AB,2022,Tax on the year's profit,-1
